# supercooling log10(rate) log10(rate_min) log10(rate_max) temperature
3.351515151515151558e+01 5.192957532459640646e+00 -3.318225249846632252e+00 1.370414031476591354e+01 2.784848484848484986e+02
3.397979797979797922e+01 6.181304652858976567e+00 -2.114613262838792807e+00 1.447722256855674594e+01 2.780202020202020208e+02
3.444444444444444287e+01 7.126180745857334742e+00 -9.627537047704848305e-01 1.521511519648515431e+01 2.775555555555555429e+02
3.490909090909090651e+01 8.029899779971653828e+00 1.400495250917828116e-01 1.591975003485152484e+01 2.770909090909091219e+02
3.537373737373737015e+01 8.894616766156300258e+00 1.196310411019738673e+00 1.659292312129286273e+01 2.766262626262626441e+02
3.583838383838383379e+01 9.722338731024146696e+00 2.208372866730567985e+00 1.723630459531772630e+01 2.761616161616161662e+02
3.630303030303030454e+01 1.051493848647307239e+01 3.178426478024178436e+00 1.785145049492196634e+01 2.756969696969696884e+02
3.676767676767676818e+01 1.127416419295019523e+01 4.108517139599797474e+00 1.843981124630059298e+01 2.752323232323232105e+02
3.723232323232323182e+01 1.200164998106584768e+01 5.000559164687524927e+00 1.900274079744416866e+01 2.747676767676767895e+02
3.769696969696969546e+01 1.269892445744079268e+01 5.856344877352685607e+00 1.954150403752889886e+01 2.743030303030303116e+02
3.816161616161616621e+01 1.336741876456505729e+01 6.677553742231027378e+00 2.005728378689908808e+01 2.738383838383838338e+02
3.862626262626262985e+01 1.400847432109410207e+01 7.465761222486763771e+00 2.055118741970144214e+01 2.733737373737373559e+02
3.909090909090909349e+01 1.462334890303248258e+01 8.222445602762725514e+00 2.102425220330223965e+01 2.729090909090908781e+02
3.955555555555555713e+01 1.521322373860352073e+01 8.948996222875111428e+00 2.147745125433193181e+01 2.724444444444444571e+02
4.002020202020202078e+01 1.577920738246853105e+01 9.646717658803423134e+00 2.191169710613363719e+01 2.719797979797979792e+02
4.048484848484848442e+01 1.632234262464463370e+01 1.031683787694918841e+01 2.232784737234008077e+01 2.715151515151515014e+02
4.094949494949494806e+01 1.684361056600415196e+01 1.096051278719682820e+01 2.272670834481147750e+01 2.710505050505050804e+02
4.141414141414141170e+01 1.734393599103097117e+01 1.157883258962321094e+01 2.310903939243873140e+01 2.705858585858586025e+02
4.187878787878787534e+01 1.782418448787856136e+01 1.217281759033725663e+01 2.347555138541986608e+01 2.701212121212121247e+02
4.234343434343433898e+01 1.828517414498799099e+01 1.274343266109134909e+01 2.382691562888463466e+01 2.696565656565656468e+02
4.280808080808080263e+01 1.872770509482444012e+01 1.329162441214996271e+01 2.416378577749891576e+01 2.691919191919191690e+02
4.327272727272727337e+01 1.915255541794967797e+01 1.381831584561517090e+01 2.448679499028418505e+01 2.687272727272727479e+02
4.373737373737373701e+01 1.956051787566803668e+01 1.432445295952069664e+01 2.479658279181537495e+01 2.682626262626262701e+02
4.420202020202020066e+01 1.995237328129241305e+01 1.481097083424526062e+01 2.509377572833956549e+01 2.677979797979797922e+02
4.466666666666667140e+01 2.032890636756673786e+01 1.527881374084461896e+01 2.537899899428885675e+01 2.673333333333333144e+02
4.513131313131313505e+01 2.069088270050105649e+01 1.572890562704412076e+01 2.565285977395799222e+01 2.668686868686868365e+02
4.559595959595959869e+01 2.103907021137404953e+01 1.616217749726272146e+01 2.591596292548537761e+01 2.664040404040404155e+02
4.606060606060606233e+01 2.137421486697961726e+01 1.657953623564289103e+01 2.616889349831634348e+01 2.659393939393939377e+02
4.652525252525252597e+01 2.169706147506134641e+01 1.698189111344202828e+01 2.641223183668066454e+01 2.654747474747474598e+02
4.698989898989898961e+01 2.200833132065432451e+01 1.737012505189710154e+01 2.664653758941154749e+01 2.650101010101010388e+02
4.745454545454545325e+01 2.230874558594446455e+01 1.774512455766723917e+01 2.687236661422168993e+01 2.645454545454545610e+02
4.791919191919191690e+01 2.259900346729634535e+01 1.810775155120200708e+01 2.709025538339068362e+01 2.640808080808080831e+02
4.838383838383838054e+01 2.287980915299008444e+01 1.845887797701742983e+01 2.730074032896273906e+01 2.636161616161616053e+02
4.884848484848485128e+01 2.315184651970287888e+01 1.879935319426839868e+01 2.750433984513735908e+01 2.631515151515151274e+02
4.931313131313131493e+01 2.341580532317063401e+01 1.913003766933345773e+01 2.770157297700781029e+01 2.626868686868687064e+02
4.977777777777777857e+01 2.367235285958088298e+01 1.945176637908974726e+01 2.789293934007201869e+01 2.622222222222222285e+02
5.024242424242424221e+01 2.392215417336981531e+01 1.976537482637662180e+01 2.807893352036300882e+01 2.617575757575757507e+02
5.070707070707070585e+01 2.416585662067222273e+01 2.007167903351198390e+01 2.826003420783246156e+01 2.612929292929292728e+02
5.117171717171716949e+01 2.440411906149805077e+01 2.037151330361084689e+01 2.843672481938525465e+01 2.608282828282828518e+02
5.163636363636363313e+01 2.463755922505799845e+01 2.066566195567799014e+01 2.860945649443800676e+01 2.603636363636363740e+02
5.210101010101010388e+01 2.486674588283899467e+01 2.095484889245912896e+01 2.877864287321886039e+01 2.598989898989898961e+02
5.256565656565656752e+01 2.509220145364422194e+01 2.123974067898483398e+01 2.894466222830360991e+01 2.594343434343434183e+02
5.303030303030303116e+01 2.531440425820624185e+01 2.152094918293215997e+01 2.910785933348032373e+01 2.589696969696969973e+02
5.349494949494949481e+01 2.553379047473575980e+01 2.179903384022759383e+01 2.926854710924392577e+01 2.585050505050505194e+02
5.395959595959595845e+01 2.575075584222134140e+01 2.207450360399318967e+01 2.942700808044949312e+01 2.580404040404040416e+02
5.442424242424242209e+01 2.596565715439554722e+01 2.234781863040350913e+01 2.958349567838758531e+01 2.575757575757575637e+02
5.488888888888888573e+01 2.617881358388124013e+01 2.261939175109205635e+01 2.973823541667042392e+01 2.571111111111110858e+02
5.535353535353535648e+01 2.639050787301207279e+01 2.288958977827641306e+01 2.989142596774773253e+01 2.566464646464646648e+02
5.581818181818182012e+01 2.660098742506944802e+01 2.315873468561618154e+01 3.004324016452271451e+01 2.561818181818181870e+02
5.628282828282828376e+01 2.681046532709712693e+01 2.342710470485631902e+01 3.019382594933793484e+01 2.557171717171717091e+02
5.674747474747474740e+01 2.701912133298881002e+01 2.369493537546593132e+01 3.034330729051168873e+01 2.552525252525252597e+02
5.721212121212121104e+01 2.722710283308246915e+01 2.396242058161753263e+01 3.049178508454740566e+01 2.547878787878787818e+02
5.767676767676767469e+01 2.743452583404458522e+01 2.422971360796865881e+01 3.063933806012051164e+01 2.543232323232323324e+02
5.814141414141413833e+01 2.764147597027663750e+01 2.449692824266093538e+01 3.078602369789233961e+01 2.538585858585858546e+02
5.860606060606060908e+01 2.784800956546201078e+01 2.476413995278637969e+01 3.093187917813764187e+01 2.533939393939393767e+02
5.907070707070707272e+01 2.805415476012744946e+01 2.503138715419662219e+01 3.107692236605827674e+01 2.529292929292929273e+02
5.953535353535353636e+01 2.825991271824359785e+01 2.529867259397594736e+01 3.122115284251124834e+01 2.524646464646464779e+02
6.000000000000000000e+01 2.846525892293695392e+01 2.556596486016422176e+01 3.136455298570968608e+01 2.520000000000000000e+02
